EPICC_C538_D1_G10_D1	ExonicOnly	Inf	NaN	Inf	1	0.905649933677671	0.409745866116533	2.00173348860332	28	0	1	898697	0	397835	19	9940510	9	4264400			
EPICC_C539_A1_G5_D1	ExonicOnly	0.776635021633486	0.0704196661943556	8.56527618082902	3	0.954115917857352	0.514628056589406	1.76892315589192	50	0.735290765995356	2	983198	1	381793	36	10244200	14	3801060			
EPICC_C539_A1_G7_D1	ExonicOnly	0.759763366248554	0.0688898692275172	8.37920414567027	3	0.979044029234324	0.517998023188692	1.85044632214285	48	0.734296140380929	2	989208	1	375782	35	10299800	13	3745470			
EPICC_C539_A1_G8_D1	ExonicOnly	0.764950326782822	0.0693601844592213	8.43640945757202	3	0.968211179640835	0.523454342307893	1.79085954224086	51	0.73423794550642	2	987353	1	377638	37	10279400	14	3765860			
EPICC_C539_B1_G1_D1	ExonicOnly	0.462361529954251	0.0289187534223025	7.39239801962131	2	1.20451772625968	0.585100289027324	2.47968345261187	38	0.724211796879815	1	661876	1	306026	28	6963680	10	2995670			
EPICC_C539_C1_G1_D1	ExonicOnly	2.00842865372589	0.234636561467402	17.1916856078805	6	1.19409241600395	0.510097879825124	2.79526187346586	29	0.107904909898485	5	973821	1	391170	22	10178200	7	3867090			
EPICC_C539_D1_G4_D1	ExonicOnly	1.98456630930013	0.231848826010728	16.987429922911	6	1.34253913763697	0.640850286564442	2.81253196993603	41	0.0688914996243453	5	977148	1	387843	32	10195500	9	3849710			
EPICC_C544_C1_G10_D1	ExonicOnly	Inf	NaN	Inf	1	0.506731559973725	0.136070614779843	1.88708599729617	9	0	1	778845	0	319065	5	9667150	4	3918920			
EPICC_C544_D1_G3_D1	ExonicOnly	Inf	NaN	Inf	1	0.556693727116023	0.157093516688073	1.97276131019565	10	0	1	795936	0	301973	6	9908680	4	3677400			
EPICC_C548_A1_G4_D1	ExonicOnly	0.609835653090756	0.305773970328938	1.2162598150639	33	0.990154758172655	0.803318931617417	1.22044516330519	412	0.00364055509271813	19	852778	14	383198	285	9567210	127	4221310			
EPICC_C548_B1_G10_D1	ExonicOnly	0.900953742267787	0.436892268044601	1.85794079947541	33	1.0659287681275	0.866805743768979	1.31079477491124	434	0.739148513388346	22	852117	11	383859	307	9569020	127	4219500			
