ID rate coverage ON_dnds ON_lowci ON_highci ON_muts OFF_dnds OFF_lowci OFF_highci OFF_muts Pval ON_na ON_NA ON_ns ON_NS OFF_na OFF_NA OFF_ns OFF_NS 	 
MAYA_570 ssb192.PatEsp ExonicOnly 0 0 NaN 1 2.18653700967265 0.982311311488954 4.86703666632496 49 0.641995931925287 0 737121 1 275290 42 15497300 7 5647570 	 
MAYA_570 ssb7.PatEsp ExonicOnly 0 0 NaN 1 2.55264193251734 1.14678600905967 5.68195191448776 49 0.641995174483443 0 381118 1 174404 42 8285980 7 3525190 	 
MAYA_597 ssb192.PatEsp ExonicOnly Inf NaN Inf 1 0.257120702694865 0.0784692487456428 0.842509150596146 11 1e-04 1 5645390 0 1704740 5 68050400 6 20996600 	 
MAYA_597 ssb7.PatEsp ExonicOnly Inf NaN Inf 1 0.311259477912848 0.0949916141976502 1.01990576556899 11 1e-04 1 805481 0 300939 5 10027700 6 3745460 	 
MAYA_666 ssb192.PatEsp ExonicOnly 0.327616864031611 0.0204910201046776 5.2380465447386 2 0.280066775067228 0.0941213487628227 0.833364654693632 13 0.812827925844928 1 4099850 1 1343180 6 47434300 7 15498900 	 
MAYA_666 ssb7.PatEsp ExonicOnly 0.379255641510107 0.023720836906975 6.06367311945222 2 0.307378789666156 0.103300088070164 0.914633814221251 13 0.741435279209177 1 841530 1 319155 6 10172400 7 3647910 	 
MAYA_674 ssb192.PatEsp ExonicOnly 0.663062170424578 0.0601217259228307 7.31271836244704 3 0.657261541934756 0.337749284217153 1.27903404777711 39 0.982590123270757 2 980997 1 325231 26 17718000 13 5822680 	 
MAYA_674 ssb7.PatEsp ExonicOnly 0.750697233435191 0.0680679661090636 8.27922762784575 3 0.702780582958609 0.361140532509715 1.36761372166186 39 0.862173177679655 2 487283 1 182901 26 9120030 13 3204690 	 
MAYA_86 ssb192.PatEsp ExonicOnly 0.448896376784159 0.100466318094719 2.00573398601825 7 0.687638680412652 0.440876193828977 1.07251669174205 88 0.861479491026056 4 1056520 3 355701 59 15173500 29 5128520 	 
MAYA_86 ssb7.PatEsp ExonicOnly 0.482863180058648 0.108068597988246 2.15750068561969 7 0.719743029225893 0.461460005034405 1.12258963419808 88 0.829934932079407 4 671235 3 243086 59 9954010 29 3521450 	 
VALE2 ssb192.PatEsp ExonicOnly Inf NaN Inf 2 0.692277691875868 0.393147402622391 1.21900459886693 54 1e-04 2 1949740 0 665978 36 20307400 18 7029180 	 
VALE2 ssb7.PatEsp ExonicOnly Inf NaN Inf 2 0.738945659720525 0.419650600074464 1.30117976757047 54 1e-04 2 933866 0 364461 36 10226300 18 3778340 	 
VALE20 ssb192.PatEsp ExonicOnly 0 0 NaN 1 0.429866268661886 0.172904670377337 1.06871044095605 19 0.884034118789225 0 3785800 1 1170720 11 46197100 8 14442600 	 
VALE20 ssb7.PatEsp ExonicOnly 0 0 NaN 1 0.543011322164113 0.218415020482601 1.35000507778553 19 0.884033306159828 0 791667 1 312693 11 9960110 8 3933420 	 
VALE24 ssb192.PatEsp ExonicOnly 0.962296808552919 0.19422027279932 4.76787377638368 8 1.00253928917845 0.618794774451242 1.62426266736184 88 0.902801958374967 6 1509660 2 484247 66 17835700 22 5960330 	 
VALE24 ssb7.PatEsp ExonicOnly 1.14347747333173 0.23078837222194 5.66556241868378 8 1.11713912164973 0.689529349027114 1.80993054981093 88 0.932762156516007 6 817076 2 311436 66 10096200 22 3759620 	 
VALE38 ssb192.PatEsp ExonicOnly 0.963554993890148 0.194474834508829 4.774105359513 8 1.42695059163581 0.877192882638397 2.32125527743493 106 0.783748806373986 6 765976 2 246020 86 13285200 20 4408680 	 
VALE38 ssb7.PatEsp ExonicOnly 1.03062723284088 0.208012544737432 5.10642369165055 8 1.45374804414936 0.893666590764805 2.36484643445769 106 0.756091268540884 6 527635 2 181265 86 9458800 20 3197840 	 
